#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   114    0.31462E+04   -0.32135E+02    0.27542E-05   -0.32135E+02    0.94666E+00   -0.50947E-08    0.27542E-05   -0.50947E-08    0.65332E-11
   115    0.31806E+04   -0.32742E+02    0.27024E-05   -0.32742E+02    0.95739E+00   -0.50082E-08    0.27024E-05   -0.50082E-08    0.63749E-11
   116    0.32150E+04   -0.33341E+02    0.26519E-05   -0.33341E+02    0.96766E+00   -0.49702E-08    0.26519E-05   -0.49702E-08    0.62213E-11
   117    0.32498E+04   -0.33932E+02    0.26027E-05   -0.33932E+02    0.97755E+00   -0.49754E-08    0.26027E-05   -0.49754E-08    0.60724E-11
   118    0.32847E+04   -0.34514E+02    0.25547E-05   -0.34514E+02    0.98720E+00   -0.50186E-08    0.25547E-05   -0.50186E-08    0.59278E-11
   119    0.33196E+04   -0.35086E+02    0.25080E-05   -0.35086E+02    0.99646E+00   -0.50945E-08    0.25080E-05   -0.50945E-08    0.57877E-11
   120    0.33547E+04   -0.35648E+02    0.24624E-05   -0.35648E+02    0.10052E+01   -0.51981E-08    0.24624E-05   -0.51981E-08    0.56517E-11
   121    0.33897E+04   -0.36199E+02    0.24179E-05   -0.36199E+02    0.10137E+01   -0.53240E-08    0.24179E-05   -0.53240E-08    0.55198E-11
   122    0.34249E+04   -0.36739E+02    0.23746E-05   -0.36739E+02    0.10216E+01   -0.54671E-08    0.23746E-05   -0.54671E-08    0.53918E-11
   123    0.34601E+04   -0.37268E+02    0.23324E-05   -0.37268E+02    0.10291E+01   -0.56221E-08    0.23324E-05   -0.56221E-08    0.52676E-11
   124    0.34954E+04   -0.37782E+02    0.22912E-05   -0.37782E+02    0.10363E+01   -0.57838E-08    0.22912E-05   -0.57838E-08    0.51471E-11
   125    0.35308E+04   -0.38285E+02    0.22511E-05   -0.38285E+02    0.10429E+01   -0.59471E-08    0.22511E-05   -0.59471E-08    0.50301E-11
   126    0.35662E+04   -0.38775E+02    0.22119E-05   -0.38775E+02    0.10492E+01   -0.61066E-08    0.22119E-05   -0.61066E-08    0.49165E-11
   127    0.36016E+04   -0.39251E+02    0.21738E-05   -0.39251E+02    0.10549E+01   -0.62572E-08    0.21738E-05   -0.62572E-08    0.48061E-11
   128    0.36370E+04   -0.39713E+02    0.21365E-05   -0.39713E+02    0.10603E+01   -0.63936E-08    0.21365E-05   -0.63936E-08    0.46989E-11
   129    0.36724E+04   -0.40159E+02    0.21002E-05   -0.40159E+02    0.10651E+01   -0.65107E-08    0.21002E-05   -0.65107E-08    0.45947E-11
   130    0.37079E+04   -0.40590E+02    0.20648E-05   -0.40590E+02    0.10694E+01   -0.66032E-08    0.20648E-05   -0.66032E-08    0.44934E-11
   131    0.37434E+04   -0.41006E+02    0.20302E-05   -0.41006E+02    0.10733E+01   -0.66672E-08    0.20302E-05   -0.66672E-08    0.43947E-11
   132    0.37789E+04   -0.41405E+02    0.19964E-05   -0.41405E+02    0.10766E+01   -0.67033E-08    0.19964E-05   -0.67033E-08    0.42988E-11
   133    0.38144E+04   -0.41788E+02    0.19634E-05   -0.41788E+02    0.10795E+01   -0.67137E-08    0.19634E-05   -0.67137E-08    0.42054E-11
   134    0.38499E+04   -0.42152E+02    0.19313E-05   -0.42152E+02    0.10820E+01   -0.67002E-08    0.19313E-05   -0.67002E-08    0.41146E-11
   135    0.38854E+04   -0.42499E+02    0.18998E-05   -0.42499E+02    0.10839E+01   -0.66649E-08    0.18998E-05   -0.66649E-08    0.40263E-11
   136    0.39207E+04   -0.42825E+02    0.18692E-05   -0.42825E+02    0.10853E+01   -0.66098E-08    0.18692E-05   -0.66098E-08    0.39403E-11
