#    L    TT             EE             BB             TE             PP             TP             EP          
    73    0.19110E+04    0.36734E+00    0.00000E+00   -0.71039E+01    0.11475E-06    0.52297E-03   -0.92275E-06
    74    0.19361E+04    0.38104E+00    0.00000E+00   -0.75890E+01    0.11396E-06    0.51553E-03   -0.94415E-06
    75    0.19615E+04    0.39491E+00    0.00000E+00   -0.80856E+01    0.11318E-06    0.50830E-03   -0.92752E-06
    76    0.19872E+04    0.40895E+00    0.00000E+00   -0.85933E+01    0.11240E-06    0.50121E-03   -0.86855E-06
    77    0.20133E+04    0.42317E+00    0.00000E+00   -0.91120E+01    0.11162E-06    0.49422E-03   -0.78098E-06
    78    0.20398E+04    0.43757E+00    0.00000E+00   -0.96429E+01    0.11084E-06    0.48733E-03   -0.68301E-06
    79    0.20665E+04    0.45211E+00    0.00000E+00   -0.10182E+02    0.11006E-06    0.48052E-03   -0.59285E-06
    80    0.20934E+04    0.46679E+00    0.00000E+00   -0.10732E+02    0.10929E-06    0.47377E-03   -0.52868E-06
    81    0.21206E+04    0.48155E+00    0.00000E+00   -0.11292E+02    0.10852E-06    0.46707E-03   -0.50438E-06
    82    0.21481E+04    0.49642E+00    0.00000E+00   -0.11861E+02    0.10775E-06    0.46045E-03   -0.51678E-06
    83    0.21757E+04    0.51137E+00    0.00000E+00   -0.12439E+02    0.10699E-06    0.45394E-03   -0.55842E-06
    84    0.22037E+04    0.52639E+00    0.00000E+00   -0.13024E+02    0.10623E-06    0.44758E-03   -0.62185E-06
    85    0.22318E+04    0.54148E+00    0.00000E+00   -0.13616E+02    0.10547E-06    0.44140E-03   -0.69965E-06
    86    0.22601E+04    0.55662E+00    0.00000E+00   -0.14216E+02    0.10472E-06    0.43543E-03   -0.78484E-06
    87    0.22889E+04    0.57181E+00    0.00000E+00   -0.14821E+02    0.10397E-06    0.42966E-03   -0.87239E-06
    88    0.23177E+04    0.58704E+00    0.00000E+00   -0.15432E+02    0.10323E-06    0.42407E-03   -0.95773E-06
    89    0.23469E+04    0.60230E+00    0.00000E+00   -0.16051E+02    0.10249E-06    0.41864E-03   -0.10363E-05
    90    0.23763E+04    0.61756E+00    0.00000E+00   -0.16675E+02    0.10176E-06    0.41335E-03   -0.11035E-05
    91    0.24058E+04    0.63281E+00    0.00000E+00   -0.17304E+02    0.10103E-06    0.40819E-03   -0.11558E-05
    92    0.24357E+04    0.64803E+00    0.00000E+00   -0.17939E+02    0.10031E-06    0.40314E-03   -0.11933E-05
    93    0.24659E+04    0.66321E+00    0.00000E+00   -0.18578E+02    0.99587E-07    0.39821E-03   -0.12173E-05
    94    0.24961E+04    0.67832E+00    0.00000E+00   -0.19220E+02    0.98872E-07    0.39339E-03   -0.12288E-05
    95    0.25267E+04    0.69335E+00    0.00000E+00   -0.19867E+02    0.98162E-07    0.38868E-03   -0.12291E-05
    96    0.25572E+04    0.70830E+00    0.00000E+00   -0.20517E+02    0.97457E-07    0.38408E-03   -0.12192E-05
    97    0.25883E+04    0.72314E+00    0.00000E+00   -0.21170E+02    0.96757E-07    0.37958E-03   -0.12005E-05
    98    0.26195E+04    0.73788E+00    0.00000E+00   -0.21823E+02    0.96062E-07    0.37517E-03   -0.11739E-05
    99    0.26509E+04    0.75246E+00    0.00000E+00   -0.22479E+02    0.95372E-07    0.37086E-03   -0.11407E-05
   100    0.26826E+04    0.76690E+00    0.00000E+00   -0.23134E+02    0.94686E-07    0.36665E-03   -0.11020E-05
   101    0.27144E+04    0.78125E+00    0.00000E+00   -0.23792E+02    0.94006E-07    0.36252E-03   -0.10589E-05
   102    0.27468E+04    0.79536E+00    0.00000E+00   -0.24449E+02    0.93331E-07    0.35847E-03   -0.10127E-05
   103    0.27791E+04    0.80931E+00    0.00000E+00   -0.25106E+02    0.92660E-07    0.35450E-03   -0.96445E-06
   104    0.28116E+04    0.82310E+00    0.00000E+00   -0.25761E+02    0.91995E-07    0.35062E-03   -0.91530E-06
   105    0.28443E+04    0.83665E+00    0.00000E+00   -0.26414E+02    0.91335E-07    0.34680E-03   -0.86643E-06
   106    0.28772E+04    0.85004E+00    0.00000E+00   -0.27066E+02    0.90680E-07    0.34306E-03   -0.81896E-06
   107    0.29101E+04    0.86311E+00    0.00000E+00   -0.27715E+02    0.90030E-07    0.33939E-03   -0.77407E-06
   108    0.29434E+04    0.87595E+00    0.00000E+00   -0.28361E+02    0.89386E-07    0.33577E-03   -0.73288E-06
   109    0.29768E+04    0.88848E+00    0.00000E+00   -0.29003E+02    0.88747E-07    0.33222E-03   -0.69655E-06
   110    0.30104E+04    0.90069E+00    0.00000E+00   -0.29640E+02    0.88113E-07    0.32873E-03   -0.66622E-06
   111    0.30440E+04    0.91267E+00    0.00000E+00   -0.30272E+02    0.87484E-07    0.32529E-03   -0.64277E-06
   112    0.30779E+04    0.92434E+00    0.00000E+00   -0.30900E+02    0.86861E-07    0.32190E-03   -0.62595E-06
   113    0.31120E+04    0.93569E+00    0.00000E+00   -0.31521E+02    0.86243E-07    0.31857E-03   -0.61523E-06
   114    0.31462E+04    0.94666E+00    0.00000E+00   -0.32135E+02    0.85630E-07    0.31529E-03   -0.61009E-06
