#    L    TT             EE             BB             TE          
   188    0.54419E+04    0.71709E+00    0.97320E-02   -0.26042E+02
   189    0.54604E+04    0.71032E+00    0.98508E-02   -0.25010E+02
   190    0.54788E+04    0.70410E+00    0.99703E-02   -0.23954E+02
   191    0.54963E+04    0.69843E+00    0.10091E-01   -0.22871E+02
   192    0.55133E+04    0.69335E+00    0.10212E-01   -0.21763E+02
   193    0.55297E+04    0.68890E+00    0.10333E-01   -0.20632E+02
   194    0.55456E+04    0.68511E+00    0.10456E-01   -0.19475E+02
   195    0.55610E+04    0.68203E+00    0.10579E-01   -0.18295E+02
   196    0.55757E+04    0.67968E+00    0.10703E-01   -0.17092E+02
   197    0.55899E+04    0.67813E+00    0.10828E-01   -0.15865E+02
   198    0.56036E+04    0.67739E+00    0.10953E-01   -0.14616E+02
   199    0.56167E+04    0.67750E+00    0.11079E-01   -0.13344E+02
   200    0.56292E+04    0.67850E+00    0.11206E-01   -0.12051E+02
   201    0.56411E+04    0.68044E+00    0.11333E-01   -0.10736E+02
   202    0.56525E+04    0.68334E+00    0.11461E-01   -0.93998E+01
   203    0.56632E+04    0.68724E+00    0.11590E-01   -0.80424E+01
   204    0.56732E+04    0.69219E+00    0.11719E-01   -0.66666E+01
   205    0.56827E+04    0.69821E+00    0.11849E-01   -0.52703E+01
   206    0.56915E+04    0.70534E+00    0.11979E-01   -0.38547E+01
   207    0.56997E+04    0.71362E+00    0.12111E-01   -0.24203E+01
   208    0.57071E+04    0.72309E+00    0.12242E-01   -0.96781E+00
   209    0.57139E+04    0.73376E+00    0.12374E-01    0.50249E+00
   210    0.57201E+04    0.74570E+00    0.12507E-01    0.19896E+01
   211    0.57257E+04    0.75894E+00    0.12641E-01    0.34935E+01
   212    0.57305E+04    0.77350E+00    0.12775E-01    0.50131E+01
   213    0.57347E+04    0.78942E+00    0.12909E-01    0.65485E+01
   214    0.57382E+04    0.80671E+00    0.13044E-01    0.80984E+01
   215    0.57411E+04    0.82554E+00    0.13179E-01    0.96620E+01
   216    0.57433E+04    0.84575E+00    0.13315E-01    0.11240E+02
   217    0.57450E+04    0.86748E+00    0.13452E-01    0.12830E+02
   218    0.57460E+04    0.89073E+00    0.13589E-01    0.14432E+02
   219    0.57463E+04    0.91550E+00    0.13726E-01    0.16048E+02
